Timestamp,Sensor1,Sensor2,label
2025-03-13 17:17:36,155,212,2
2025-03-13 17:17:36,168,214,2
2025-03-13 17:17:37,188,211,2
2025-03-13 17:17:37,213,207,2
2025-03-13 17:17:37,233,204,2
2025-03-13 17:17:37,268,194,2
2025-03-13 17:17:37,240,201,2
2025-03-13 17:17:37,44,272,2
2025-03-13 17:17:38,36,308,2
2025-03-13 17:17:38,36,312,2
2025-03-13 17:17:38,37,304,2
2025-03-13 17:17:38,104,208,2
2025-03-13 17:17:38,190,185,2
2025-03-13 17:17:38,203,203,2
2025-03-13 17:17:38,52,264,2
2025-03-13 17:17:39,36,319,2
2025-03-13 17:17:39,23,190,2
2025-03-13 17:17:39,26,226,2
2025-03-13 17:17:39,31,270,2
2025-03-13 17:17:39,89,187,2
2025-03-13 17:17:39,164,195,2
2025-03-13 17:17:40,182,195,2
2025-03-13 17:17:40,51,229,2
2025-03-13 17:17:40,31,287,2
2025-03-13 17:17:40,27,240,2
2025-03-13 17:17:40,31,287,2
2025-03-13 17:17:40,33,274,2
2025-03-13 17:17:40,93,152,2
2025-03-13 17:17:41,171,142,2
2025-03-13 17:17:41,172,149,2
2025-03-13 17:17:41,34,257,2
2025-03-13 17:17:41,31,269,2
2025-03-13 17:17:41,31,284,2
2025-03-13 17:17:41,33,322,2
2025-03-13 17:17:42,38,272,2
2025-03-13 17:17:42,162,147,2
2025-03-13 17:17:42,224,146,2
2025-03-13 17:17:42,273,129,2
2025-03-13 17:17:42,41,190,2
2025-03-13 17:17:42,29,276,2
2025-03-13 17:17:42,24,221,2
2025-03-13 17:17:43,27,254,2
2025-03-13 17:17:43,29,266,2
2025-03-13 17:17:43,33,240,2
2025-03-13 17:17:43,118,156,2
2025-03-13 17:17:43,181,138,2
2025-03-13 17:17:43,249,120,2
2025-03-13 17:17:44,116,131,2
2025-03-13 17:17:44,28,261,2
2025-03-13 17:17:44,28,248,2
2025-03-13 17:17:44,33,297,2
2025-03-13 17:17:44,32,315,2
2025-03-13 17:17:44,47,259,2
2025-03-13 17:17:44,133,170,2
2025-03-13 17:17:45,203,153,2
2025-03-13 17:17:45,260,134,2
2025-03-13 17:17:45,125,160,2
2025-03-13 17:17:45,32,294,2
2025-03-13 17:17:45,28,240,2
2025-03-13 17:17:45,25,267,2
2025-03-13 17:17:45,29,296,2
2025-03-13 17:17:46,33,285,2
2025-03-13 17:17:46,112,156,2
2025-03-13 17:17:46,220,145,2
2025-03-13 17:17:46,273,144,2
2025-03-13 17:17:46,102,164,2
2025-03-13 17:17:46,31,298,2
2025-03-13 17:17:47,28,240,2
2025-03-13 17:17:47,32,286,2
2025-03-13 17:17:47,33,294,2
2025-03-13 17:17:47,37,264,2
2025-03-13 17:17:47,93,183,2
2025-03-13 17:17:47,149,161,2
2025-03-13 17:17:48,167,161,2
2025-03-13 17:17:48,38,212,2
2025-03-13 17:17:48,37,336,2
2025-03-13 17:17:48,39,363,2
2025-03-13 17:17:48,44,319,2
2025-03-13 17:17:49,114,209,2
2025-03-13 17:17:49,149,203,2
2025-03-13 17:17:49,171,203,2
2025-03-13 17:17:49,45,248,2
2025-03-13 17:17:49,33,325,2
2025-03-13 17:17:49,32,294,2
2025-03-13 17:17:50,33,296,2
2025-03-13 17:17:50,34,327,2
2025-03-13 17:17:50,39,287,2
2025-03-13 17:17:50,95,192,2
2025-03-13 17:17:50,163,160,2
2025-03-13 17:17:50,191,164,2
2025-03-13 17:17:50,183,166,2
2025-03-13 17:17:51,35,292,2
2025-03-13 17:17:51,33,296,2
2025-03-13 17:17:51,35,303,2
2025-03-13 17:17:51,34,326,2
2025-03-13 17:17:51,36,315,2
2025-03-13 17:17:51,124,171,2
2025-03-13 17:17:51,254,140,2
2025-03-13 17:17:52,320,127,2
2025-03-13 17:17:52,354,123,2
2025-03-13 17:17:52,47,169,2
2025-03-13 17:17:52,33,277,2
2025-03-13 17:17:52,32,272,2
2025-03-13 17:17:52,45,330,2
2025-03-13 17:17:53,33,300,2
2025-03-13 17:17:53,65,219,2
2025-03-13 17:17:53,214,151,2
2025-03-13 17:17:53,392,115,2
2025-03-13 17:17:53,416,115,2
2025-03-13 17:17:53,138,138,2
2025-03-13 17:17:54,30,260,2
2025-03-13 17:17:54,27,228,2
2025-03-13 17:17:54,33,290,2
2025-03-13 17:17:54,36,296,2
2025-03-13 17:17:54,56,230,2
2025-03-13 17:17:54,191,147,2
2025-03-13 17:17:55,323,123,2
2025-03-13 17:17:55,373,119,2
2025-03-13 17:17:55,404,120,2
2025-03-13 17:17:55,221,140,2
2025-03-13 17:17:55,31,253,2
2025-03-13 17:17:55,25,199,2
2025-03-13 17:17:56,28,221,2
2025-03-13 17:17:56,42,283,2
2025-03-13 17:17:56,37,286,2
2025-03-13 17:17:56,72,205,2
2025-03-13 17:17:56,242,134,2
2025-03-13 17:17:56,353,116,2
2025-03-13 17:17:57,352,119,2
2025-03-13 17:17:57,35,213,2
2025-03-13 17:17:57,28,246,2
2025-03-13 17:17:57,28,217,2
2025-03-13 17:17:57,34,294,2
2025-03-13 17:17:57,36,278,2
2025-03-13 17:17:57,164,151,2
2025-03-13 17:17:58,329,135,2
2025-03-13 17:17:58,341,145,2
2025-03-13 17:17:58,315,149,2
2025-03-13 17:17:58,281,155,2
2025-03-13 17:17:58,285,159,2
