Timestamp,Sensor Value,label
2025-03-14 16:33:40,21,pressed
2025-03-14 16:33:40,21,pressed
2025-03-14 16:33:40,21,pressed
2025-03-14 16:33:41,20,pressed
2025-03-14 16:33:41,21,pressed
2025-03-14 16:33:41,20,pressed
2025-03-14 16:33:41,21,pressed
2025-03-14 16:33:41,19,pressed
2025-03-14 16:33:41,21,pressed
2025-03-14 16:33:41,20,pressed
2025-03-14 16:33:41,21,pressed
2025-03-14 16:33:41,20,pressed
2025-03-14 16:33:42,18,pressed
2025-03-14 16:33:42,20,pressed
2025-03-14 16:33:42,19,pressed
2025-03-14 16:33:42,21,pressed
2025-03-14 16:33:42,20,pressed
2025-03-14 16:33:42,19,pressed
2025-03-14 16:33:42,17,pressed
2025-03-14 16:33:42,21,pressed
2025-03-14 16:33:42,19,pressed
2025-03-14 16:33:42,19,pressed
2025-03-14 16:33:43,20,pressed
2025-03-14 16:33:43,21,pressed
2025-03-14 16:33:43,23,pressed
2025-03-14 16:33:43,23,pressed
2025-03-14 16:33:43,23,pressed
2025-03-14 16:33:43,22,pressed
2025-03-14 16:33:43,23,pressed
2025-03-14 16:33:43,23,pressed
2025-03-14 16:33:43,27,pressed
2025-03-14 16:33:43,33,pressed
2025-03-14 16:33:44,40,pressed
2025-03-14 16:33:44,48,pressed
2025-03-14 16:33:44,56,pressed
2025-03-14 16:33:44,39,pressed
2025-03-14 16:33:44,71,pressed
2025-03-14 16:33:44,58,pressed
2025-03-14 16:33:44,55,pressed
2025-03-14 16:33:44,57,pressed
2025-03-14 16:33:44,48,pressed
2025-03-14 16:33:44,45,pressed
2025-03-14 16:33:45,69,pressed
2025-03-14 16:33:45,59,pressed
2025-03-14 16:33:45,51,pressed
2025-03-14 16:33:45,59,pressed
2025-03-14 16:33:45,46,pressed
2025-03-14 16:33:45,57,pressed
2025-03-14 16:33:45,62,pressed
2025-03-14 16:33:45,60,pressed
2025-03-14 16:33:45,55,pressed
2025-03-14 16:33:46,43,pressed
2025-03-14 16:33:46,32,pressed
2025-03-14 16:33:46,30,pressed
2025-03-14 16:33:46,35,pressed
2025-03-14 16:33:46,44,pressed
2025-03-14 16:33:46,50,pressed
2025-03-14 16:33:46,64,pressed
2025-03-14 16:33:46,63,pressed
2025-03-14 16:33:46,64,pressed
2025-03-14 16:33:46,54,pressed
2025-03-14 16:33:47,53,pressed
2025-03-14 16:33:47,58,pressed
2025-03-14 16:33:47,40,pressed
2025-03-14 16:33:47,70,pressed
2025-03-14 16:33:47,54,pressed
2025-03-14 16:33:47,62,pressed
2025-03-14 16:33:47,84,pressed
2025-03-14 16:33:47,73,pressed
2025-03-14 16:33:47,45,pressed
2025-03-14 16:33:47,40,pressed
2025-03-14 16:33:48,44,pressed
2025-03-14 16:33:48,37,pressed
2025-03-14 16:33:48,53,pressed
2025-03-14 16:33:48,50,pressed
2025-03-14 16:33:48,53,pressed
2025-03-14 16:33:48,55,pressed
2025-03-14 16:33:48,53,pressed
2025-03-14 16:33:48,51,pressed
2025-03-14 16:33:48,47,pressed
2025-03-14 16:33:49,70,pressed
