Timestamp,Sensor1,Sensor2,label,Subject
2025-03-20 12:05:08,116,219,Normal Standing,Andrea
2025-03-20 12:05:08,113,217,Normal Standing,Andrea
2025-03-20 12:05:08,115,222,Normal Standing,Andrea
2025-03-20 12:05:09,112,225,Normal Standing,Andrea
2025-03-20 12:05:09,111,226,Normal Standing,Andrea
2025-03-20 12:05:09,113,223,Normal Standing,Andrea
2025-03-20 12:05:09,115,222,Normal Standing,Andrea
2025-03-20 12:05:09,117,218,Normal Standing,Andrea
2025-03-20 12:05:09,108,218,Normal Standing,Andrea
2025-03-20 12:05:09,111,218,Normal Standing,Andrea
2025-03-20 12:05:10,114,219,Normal Standing,Andrea
2025-03-20 12:05:10,114,214,Normal Standing,Andrea
2025-03-20 12:05:10,111,217,Normal Standing,Andrea
2025-03-20 12:05:10,111,217,Normal Standing,Andrea
2025-03-20 12:05:10,122,214,Normal Standing,Andrea
2025-03-20 12:05:10,104,208,Normal Standing,Andrea
2025-03-20 12:05:11,112,210,Normal Standing,Andrea
2025-03-20 12:05:11,112,208,Normal Standing,Andrea
2025-03-20 12:05:11,111,210,Normal Standing,Andrea
2025-03-20 12:05:11,113,209,Normal Standing,Andrea
2025-03-20 12:05:11,116,211,Normal Standing,Andrea
2025-03-20 12:05:11,108,214,Normal Standing,Andrea
2025-03-20 12:05:11,118,211,Normal Standing,Andrea
2025-03-20 12:05:12,118,210,Normal Standing,Andrea
2025-03-20 12:05:12,113,210,Normal Standing,Andrea
2025-03-20 12:05:12,114,210,Normal Standing,Andrea
2025-03-20 12:05:12,113,218,Normal Standing,Andrea
2025-03-20 12:05:12,114,213,Normal Standing,Andrea
2025-03-20 12:05:12,113,214,Normal Standing,Andrea
2025-03-20 12:05:13,114,214,Normal Standing,Andrea
2025-03-20 12:05:13,114,214,Normal Standing,Andrea
2025-03-20 12:05:13,115,216,Normal Standing,Andrea
2025-03-20 12:05:13,112,217,Normal Standing,Andrea
2025-03-20 12:05:13,128,221,Normal Standing,Andrea
2025-03-20 12:05:13,109,212,Normal Standing,Andrea
2025-03-20 12:05:13,111,212,Normal Standing,Andrea
2025-03-20 12:05:14,109,210,Normal Standing,Andrea
2025-03-20 12:05:14,114,207,Normal Standing,Andrea
2025-03-20 12:05:14,112,211,Normal Standing,Andrea
2025-03-20 12:05:14,109,210,Normal Standing,Andrea
2025-03-20 12:05:14,111,210,Normal Standing,Andrea
2025-03-20 12:05:14,111,209,Normal Standing,Andrea
2025-03-20 12:05:15,113,208,Normal Standing,Andrea
2025-03-20 12:05:15,114,207,Normal Standing,Andrea
2025-03-20 12:05:15,119,213,Normal Standing,Andrea
2025-03-20 12:05:15,115,217,Normal Standing,Andrea
